file,accuracy,f1_weighted
c_combined.csv,0.860626142595978,0.8587356667462206
c_bin_clusters_over.csv,0.8551873857404022,0.8538429548751632
c_bin_clusters_over_300.csv,0.8542733089579525,0.8527469418042879
c_bin_clusters.csv,0.8425502742230347,0.843556147771379
c_maria_clusters_300.csv,0.8406535648994515,0.8385016477841558
c_bin_clusters_over_10.csv,0.8363802559414991,0.8347591171274739
c_maria_clusters.csv,0.8350091407678245,0.833866145798207
MultinomialNB-clusters.csv,0.8344149908592322,0.8292085570134782
LogisticRegression-clusters.csv,0.8207266910420475,0.8197182585593907
LinearSVM-clusters.csv,0.8014625228519195,0.800713061818761
c_bin_80_sub_clusters.csv,0.7990173674588665,0.7968567665186731
c_bin_grouped_clusters.csv,0.7944469835466179,0.7930166228083194
RandomForest-clusters.csv,0.7822897623400366,0.7683087836376801
predicciones_marIA_Politics(3EP).csv,0.6995429616087752,0.6965579053349757
c_bin_w_prof_true.csv,0.6881170018281536,0.6856504425852729
c_maria.csv,0.6813756855575869,0.6829119032894841
c_bin_w_prof.csv,0.6779478976234004,0.6764366039691362
c_bin_w.csv,0.6830210237659964,0.6764251044807952
c_bin.csv,0.6749314442413162,0.6761163517592108
LogisticRegression-clusters-encoder.csv,0.6468235831809872,0.6489830969034178
LinearSVM-clusters-encoder.csv,0.641636197440585,0.6437107096052944
MultinomialNB.csv,0.6588893967093236,0.632282311465314
bin_grouped.csv,0.6308729433272395,0.6320656398848463
c_bin_grouped_extra.csv,0.6236060329067642,0.6256613529169927
c_bin_80_sub.csv,0.6211608775137112,0.6177466650530535
c_bin_grouped_sep.csv,0.6082038391224863,0.6089754688415892
LinearSVM.csv,0.5915904936014625,0.5953462197669402
LogisticRegression.csv,0.5895109689213894,0.5911702677707364
RandomForest.csv,0.6279478976234004,0.573837725443483
